"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","boot_mean","ci_low","ci_up","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","bestModRF","refreshStatus","iterations","cluster","top_sol","boot_se","carryover_pct"
"11","search_clicks_P",115674.808114937,2206855.57333354,0.00764019748912396,14056.4049256913,0.00430537365463366,2206855.57333354,0.00764019748912396,14056.4049256913,0.00430537365463366,TRUE,0.0644012269879381,0.0644012269879381,5158.98089171975,809960,14739.2437705407,14739.2437705407,0.0574721586412708,0.0574721586412708,1,0.944612551721575,NA,NA,0.0527021557420157,NA,NA,0.0527021557420157,0.337342098693525,0,59739.7155980717,59739.7155980717,65481090.2533626,1e-04,"5_277_2",1,1,1,1.3453948584,0,3.6775458873,1,14056.4049256913,6906.43227319875,1747.451381479,2.72464760399716,2.72464760399716,0.367019939948551,0.367019939948551,TRUE,0,NA,NA,NA,NA,NA
"12","newsletter",259370.802870332,10363799.0406998,0.0358797704595289,66011.4588579602,0.0202188253236464,10363799.0406998,0.0358797704595289,66011.4588579602,0.0202188253236464,TRUE,NA,NA,NA,NA,20398.1700146987,20398.1700146987,NA,NA,1,0.944612551721575,NA,NA,0.0527021557420157,NA,NA,0.0527021557420157,0.337342098693525,0,59739.7155980717,59739.7155980717,65481090.2533626,1e-04,"5_277_2",1,1,1,NA,NA,NA,1,66011.4588579602,33063.6342871107,12665.464272412,NA,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA
"13","(Intercept)",91268.0120707306,14329077.8951047,0.0494163914571668,91268.0120707306,0.0276754856217731,365072.048282922,0.0391947215970854,91268.0120707306,0.0391947215970854,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946183796265417,NA,NA,0.0522188764048557,NA,NA,0.0522188764048557,0.0163290274611766,0,46715.2387943253,0.000613477062282337,65481090.2533626,1e-04,"5_221_3",5,221,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1543,3,FALSE,NA,NA
"14","trend",0.271360968408978,75971614.5642103,0.262001719330494,483895.634166945,0.146733191202275,1915447.41650682,0.205645511829653,478861.854126705,0.205645511829653,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946183796265417,NA,NA,0.0522188764048557,NA,NA,0.0522188764048557,0.0163290274611766,0,46715.2387943253,0.000613477062282337,65481090.2533626,1e-04,"5_221_3",5,221,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1543,3,FALSE,NA,NA
"15","season",0.331494429663692,34564.9009689424,0.000119203251560451,220.158604897723,6.67593844339965e-05,547729.248489729,0.0588050920526747,136932.312122432,0.0588050920526747,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946183796265417,NA,NA,0.0522188764048557,NA,NA,0.0522188764048557,0.0163290274611766,0,46715.2387943253,0.000613477062282337,65481090.2533626,1e-04,"5_221_3",5,221,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1543,3,FALSE,NA,NA
"16","holiday",0.963818602796697,6707744.01181688,0.0231328565807889,268309.760472675,0.0813604103964512,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946183796265417,NA,NA,0.0522188764048557,NA,NA,0.0522188764048557,0.0163290274611766,0,46715.2387943253,0.000613477062282337,65481090.2533626,1e-04,"5_221_3",5,221,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1543,3,FALSE,NA,NA
"17","competitor_sales_B",0.168408807348113,147343004.172308,0.508138739000172,938490.472435084,0.284581410143124,5109737.43094468,0.54858961945198,1277434.35773617,0.54858961945198,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946183796265417,NA,NA,0.0522188764048557,NA,NA,0.0522188764048557,0.0163290274611766,0,46715.2387943253,0.000613477062282337,65481090.2533626,1e-04,"5_221_3",5,221,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1543,3,FALSE,NA,NA
"18","events",0.968836590632642,1233143.97653701,0.00425271785900602,1233143.97653701,0.373930116564584,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946183796265417,NA,NA,0.0522188764048557,NA,NA,0.0522188764048557,0.0163290274611766,0,46715.2387943253,0.000613477062282337,65481090.2533626,1e-04,"5_221_3",5,221,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1543,3,FALSE,NA,NA
"19","tv_S",695551.712452004,13779589.6193447,0.0475213827249332,87768.0867474187,0.0266141922861898,416322.01051477,0.0446969998760889,104080.502628693,0.0446969998760889,TRUE,0.211749818240888,0.304447357894179,16758.1735031847,2631033.24,NA,NA,0.389760762821888,0.473879961844424,1,0.946183796265417,NA,NA,0.0522188764048557,NA,NA,0.0522188764048557,0.0163290274611766,0,46715.2387943253,0.000613477062282337,65481090.2533626,1e-04,"5_221_3",5,221,3,5.20310190089686,5.11386236778779,5.29264285413931,1,87768.0867474187,25267.6436616552,8509.47015847051,5.23733011421199,5.23733011421199,0.190936980903,0.190936980903,TRUE,1,1543,3,FALSE,0.00567735463868728,0.420380832814079
"20","ooh_S",227007.148904287,12816775.570797,0.0442009460386516,81635.5131897901,0.0247545927674988,151005.518316169,0.0162121950389339,37751.3795790423,0.0162121950389339,TRUE,0.647116095129355,0.194270362866276,51213.6628450106,8040545.06666667,NA,NA,0.362527213174608,0.171882551127873,1,0.946183796265417,NA,NA,0.0522188764048557,NA,NA,0.0522188764048557,0.0163290274611766,0,46715.2387943253,0.000613477062282337,65481090.2533626,1e-04,"5_221_3",5,221,3,1.53367747481675,1.41226726280586,1.65539660699085,1,81635.5131897901,84625.6213311752,33411.9584861646,1.59401824932628,1.59401824932628,0.627345389817623,0.627345389817623,TRUE,1,1543,3,FALSE,0.00772081751302314,0.742638829700406
"21","print_S",273698.748029775,5525476.40057969,0.0190555949794694,35194.1172011445,0.0106720225681746,72382.8064757515,0.00777113438724337,18095.7016189379,0.00777113438724337,TRUE,0.0459846796638374,0.032083754743734,3639.29115357396,571368.711111111,NA,NA,0.156290133185163,0.0823899786814287,1,0.946183796265417,NA,NA,0.0522188764048557,NA,NA,0.0522188764048557,0.0163290274611766,0,46715.2387943253,0.000613477062282337,65481090.2533626,1e-04,"5_221_3",5,221,3,9.76197003096509,9.64019501757541,9.8837052110234,1,35194.1172011445,4058.56991848438,419.278764910419,9.67059674974954,9.67059674974954,0.103406234990193,0.103406234990193,TRUE,1,1543,3,FALSE,0.00773291176544464,0.186052156700779
"22","facebook_I",46228.6074190266,1134622.13316131,0.00391294763687621,7226.89256790645,0.0021914333052219,14726.7264748112,0.00158108501303098,3681.68161870279,0.00158108501303098,TRUE,0.0260790073288395,0.0305241169532398,2063.92871190257,324036.807768703,7931316.89352431,4246971.10201491,0.0320932045403382,0.016762747113341,1,0.946183796265417,NA,NA,0.0522188764048557,NA,NA,0.0522188764048557,0.0163290274611766,0,46715.2387943253,0.000613477062282337,65481090.2533626,1e-04,"5_221_3",5,221,3,2.62065070349456,1.28159420891883,3.96231471522362,1,7226.89256790645,2121.7891375777,57.860425675132,3.50152237634437,3.50152237634437,0.285590064126339,0.285590064126339,TRUE,1,1543,3,FALSE,0.0851289831014833,0.00650692102471331
"23","search_clicks_P",104195.534610605,2097504.48877102,0.00723361989229495,13359.9012023632,0.00405116475362441,224101.901744982,0.0240599401942294,56025.4754362455,0.0240599401942294,TRUE,0.0690703996370795,0.438674407542572,5466.32696390658,858213.333333333,15478.4605541808,39026.5790517509,0.0593286862780028,0.255084761232933,1,0.946183796265417,NA,NA,0.0522188764048557,NA,NA,0.0522188764048557,0.0163290274611766,0,46715.2387943253,0.000613477062282337,65481090.2533626,1e-04,"5_221_3",5,221,3,2.0335448051709,1.14833568773944,2.92113258597632,1,13359.9012023632,7303.66055576482,1837.33359185824,2.44403624052802,2.44403624052802,0.409159235619172,0.409159235619172,TRUE,1,1543,3,FALSE,0.0562969533143902,0.0295637892456276
"24","newsletter",260232.014427714,8992973.93306686,0.0310138812485869,57280.0887456488,0.0173692210066497,497791.550390138,0.0534437005590813,124447.887597534,0.0534437005590813,TRUE,NA,NA,NA,NA,21129.3993140617,49369,NA,NA,1,0.946183796265417,NA,NA,0.0522188764048557,NA,NA,0.0522188764048557,0.0163290274611766,0,46715.2387943253,0.000613477062282337,65481090.2533626,1e-04,"5_221_3",5,221,3,NA,NA,NA,1,57280.0887456488,34165.4263809991,13036.0270669373,NA,NA,NA,NA,TRUE,1,1543,3,FALSE,NA,0.372748076751829
