"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"11","search_clicks_P",64951.3544290238,1374763.62986091,0.00473363156542432,8756.45624115226,0.00264172430371346,187270.689355992,0.0141206139886842,31211.781559332,0.0141206139886842,TRUE,0.0699699137170785,0.432491219741173,5520.33970276008,866693.333333333,15675.1735811117,33906.5607543834,0.0419215169614852,0.176583045715234,1,0.946865911319501,NA,NA,0.0519059742215797,NA,NA,0.0519059742215797,0.0242275271922814,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_22_2",1,22,2,149,2,8756.45624115226,7513.92111574596,1993.58141298588,1.58621692008812,1.58621692008812,0.630430798799226,0.630430798799226,2,FALSE,1.16324891096176,0.089976463932272,0,2.40265201868848,0.0346533892481922
"12","newsletter",258834.959875248,9445101.95022893,0.032521687189803,60159.8850333053,0.0181495602814977,715976.178706654,0.0539861484964749,119329.363117776,0.0539861484964749,TRUE,NA,NA,NA,NA,21476.3206761391,45435.608974359,NA,NA,1,0.946865911319501,NA,NA,0.0519059742215797,NA,NA,0.0519059742215797,0.0242275271922814,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_22_2",1,22,2,149,2,60159.8850333053,35131.9009646819,13655.5802885427,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,0.385118420006657
"13","(Intercept)",48076.2148366086,7547965.72934755,0.0259894050548861,48076.2148366086,0.0145042200527806,288457.289019652,0.0217514395479681,48076.2148366086,0.0217514395479681,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946869917065491,NA,NA,0.0519040176051009,NA,NA,0.0519040176051009,0.0242433381314191,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_26_4",1,26,4,179,2,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"14","trend",0.281894901042864,78940014.8893251,0.271808868185567,502802.642607166,0.151691646197169,2983337.27493722,0.224961832677336,497222.879156204,0.224961832677336,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946869917065491,NA,NA,0.0519040176051009,NA,NA,0.0519040176051009,0.0242433381314191,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_26_4",1,26,4,179,2,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"15","season",0.323112123393717,15620.8468119401,5.37862160021929e-05,99.4958395664973,3.001712086347e-05,637937.727014757,0.048104396847411,106322.954502459,0.048104396847411,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946869917065491,NA,NA,0.0519040176051009,NA,NA,0.0519040176051009,0.0242433381314191,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_26_4",1,26,4,179,2,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"16","holiday",0.982277362294939,6836208.67636125,0.0235386596469135,273448.34705445,0.0824972392736449,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946869917065491,NA,NA,0.0519040176051009,NA,NA,0.0519040176051009,0.0242433381314191,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_26_4",1,26,4,179,2,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"17","competitor_sales_B",0.175234665077798,153584230.325478,0.528826297720458,978243.505257819,0.295128456216536,7575411.91954504,0.571232278369347,1262568.65325751,0.571232278369347,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946869917065491,NA,NA,0.0519040176051009,NA,NA,0.0519040176051009,0.0242433381314191,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_26_4",1,26,4,179,2,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"18","events",0.976429030093395,1242807.70216296,0.00427927655411298,1242807.70216296,0.374945416495973,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946869917065491,NA,NA,0.0519040176051009,NA,NA,0.0519040176051009,0.0242433381314191,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_26_4",1,26,4,179,2,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"19","tv_S",692738.480075544,13552257.0015491,0.0466635792014415,86320.1082901217,0.0260421052255222,531275.992907143,0.0400614513236279,88545.9988178572,0.0400614513236279,TRUE,0.212102766514212,0.317523800746157,16734.0398301486,2627244.25333333,NA,NA,0.413384000708571,0.502055259833708,1,0.946869917065491,NA,NA,0.0519040176051009,NA,NA,0.0519040176051009,0.0242433381314191,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_26_4",1,26,4,179,2,86320.1082901217,25071.606461545,8337.56663139643,5.15835441807688,5.15835441807688,0.193860273829889,0.193860273829889,2,FALSE,5.20427071172445,0.0100469643792244,5.06534763663171,5.3426381663711,0.416235291187023
"20","ooh_S",208570.897209131,11343654.738569,0.0390588468966104,72252.577952669,0.0217980407477545,176850.769525771,0.0133356270365883,29475.1282542951,0.0133356270365883,TRUE,0.645700258305148,0.156568022679373,50943.106581741,7998067.73333333,NA,NA,0.346015086487098,0.167123792965308,1,0.946869917065491,NA,NA,0.0519040176051009,NA,NA,0.0519040176051009,0.0242433381314191,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_26_4",1,26,4,179,2,72252.577952669,84253.0487863238,33309.9422045828,1.41829940890503,1.41829940890503,0.705069743187747,0.705069743187747,2,FALSE,1.36577924283499,0.0108400035168371,1.21592611954838,1.51510408058267,0.736579422024357
"21","print_S",275560.254234095,5569901.90996445,0.019178470338201,35477.0822290729,0.010703159748118,146773.758194406,0.0110676368742279,24462.293032401,0.0110676368742279,TRUE,0.0461843016499303,0.0568475009733232,3643.75230007077,572069.111111111,NA,NA,0.16989851467783,0.138701048590279,1,0.946869917065491,NA,NA,0.0519040176051009,NA,NA,0.0519040176051009,0.0242433381314191,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_26_4",1,26,4,179,2,35477.0822290729,4092.29056298379,448.538262913014,9.73641436284894,9.73641436284894,0.10270721466166,0.10270721466166,2,FALSE,9.75373571071135,0.0167802322454081,9.52233420304777,9.98545911449872,0.197651100174256
"22","facebook_I",39244.3957809335,970293.903251746,0.00334094803528949,6180.21594427864,0.00186452307724656,18668.9697221873,0.00140775422148317,3111.49495369789,0.00140775422148317,TRUE,0.0260427598136316,0.0365694558599733,2054.66711806942,322582.737536898,7909564.88522703,4164895.27055339,0.0295968395185756,0.0176421569388297,1,0.946869917065491,NA,NA,0.0519040176051009,NA,NA,0.0519040176051009,0.0242433381314191,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_26_4",1,26,4,179,2,6180.21594427864,2130.5128020005,75.8456839310818,3.00789158979953,3.00789158979953,0.332458790533288,0.332458790533288,2,FALSE,2.26058998684816,0.14500234852892,0.256360591472486,4.2583433316704,0.0108228752233146
"23","search_clicks_P",64913.1506601969,1347592.2955218,0.00464007432903213,8583.39041733631,0.0025895421225461,184632.734407812,0.0139224346685653,30772.1224013019,0.0139224346685653,TRUE,0.0699699137170785,0.432491219741173,5520.33970276008,866693.333333333,15675.1735811117,33906.5607543834,0.0411055586079257,0.174477741671876,1,0.946869917065491,NA,NA,0.0519040176051009,NA,NA,0.0519040176051009,0.0242433381314191,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_26_4",1,26,4,179,2,8583.39041733631,7506.05950925046,1985.71980649038,1.55486634509915,1.55486634509915,0.643142095879779,0.643142095879779,2,FALSE,1.16324891096176,0.089976463932272,0,2.40265201868848,0.0339441713328146
"24","newsletter",259631.644956001,9474173.64832398,0.0326217878214855,60345.0550848661,0.0182056337218458,718179.928694774,0.0541551484334451,119696.654782462,0.0541551484334451,TRUE,NA,NA,NA,NA,21476.3206761391,45435.608974359,NA,NA,1,0.946869917065491,NA,NA,0.0519040176051009,NA,NA,0.0519040176051009,0.0242433381314191,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_26_4",1,26,4,179,2,60345.0550848661,35131.9009646819,13655.5802885427,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,0.385118420006657
"25","(Intercept)",5128.58853534376,805188.400048971,0.00277245131002698,5128.58853534376,0.00153771868437025,30771.5312120626,0.00231789802806772,5128.58853534376,0.00231789802806772,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.947753274205921,NA,NA,0.0514707229333054,NA,NA,0.0514707229333054,0.0370067476585196,0,29156.3705847786,0.000345298505632967,65481090.2533626,1e-04,"1_26_6",1,26,6,181,1,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"26","trend",0.284607141401186,79699533.0412223,0.274424066187785,507640.337842181,0.152207186648017,3012041.33354075,0.226885188759659,502006.888923458,0.226885188759659,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.947753274205921,NA,NA,0.0514707229333054,NA,NA,0.0514707229333054,0.0370067476585196,0,29156.3705847786,0.000345298505632967,65481090.2533626,1e-04,"1_26_6",1,26,6,181,1,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"27","season",0.310105290063968,14992.0318085955,5.16210594007301e-05,95.4906484623918,2.86312214971655e-05,612257.633049574,0.0461189516548564,102042.938841596,0.0461189516548564,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.947753274205921,NA,NA,0.0514707229333054,NA,NA,0.0514707229333054,0.0370067476585196,0,29156.3705847786,0.000345298505632967,65481090.2533626,1e-04,"1_26_6",1,26,6,181,1,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"28","holiday",1,6959550.26428534,0.0239633534788169,278382.010571414,0.0834680372773414,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.947753274205921,NA,NA,0.0514707229333054,NA,NA,0.0514707229333054,0.0370067476585196,0,29156.3705847786,0.000345298505632967,65481090.2533626,1e-04,"1_26_6",1,26,6,181,1,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"29","competitor_sales_B",0.183467346561428,160799754.997019,0.553671030738135,1024202.26112751,0.307089356585411,7931311.55511786,0.597434404121943,1321885.25918631,0.597434404121943,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.947753274205921,NA,NA,0.0514707229333054,NA,NA,0.0514707229333054,0.0370067476585196,0,29156.3705847786,0.000345298505632967,65481090.2533626,1e-04,"1_26_6",1,26,6,181,1,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"30","events",0.989403293875547,1259321.46246851,0.00433613727936664,1259321.46246851,0.377585787809063,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.947753274205921,NA,NA,0.0514707229333054,NA,NA,0.0514707229333054,0.0370067476585196,0,29156.3705847786,0.000345298505632967,65481090.2533626,1e-04,"1_26_6",1,26,6,181,1,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"31","tv_S",673682.490099956,13535807.0253808,0.0466069380998371,86215.331371852,0.0258501778834521,536938.943900243,0.0404454919933025,89489.8239833738,0.0404454919933025,TRUE,0.212102766514212,0.317523800746157,16734.0398301486,2627244.25333333,NA,NA,0.425477034908563,0.533379916791094,1,0.947753274205921,NA,NA,0.0514707229333054,NA,NA,0.0514707229333054,0.0370067476585196,0,29156.3705847786,0.000345298505632967,65481090.2533626,1e-04,"1_26_6",1,26,6,181,1,86215.331371852,25444.0457280827,8710.00589793412,5.15209311361405,5.15209311361405,0.194095870930121,0.194095870930121,1,FALSE,5.16667613474726,0.0096073644509978,5.03026090099756,5.30329917765507,0.426208213487914
"32","ooh_S",200376.187459221,11062065.8267385,0.0380892706490563,70459.0180047038,0.0211259194847751,173858.384852107,0.0130960661214599,28976.3974753512,0.0130960661214599,TRUE,0.645700258305148,0.156568022679373,50943.106581741,7998067.73333333,NA,NA,0.347718828962223,0.172705988081728,1,0.947753274205921,NA,NA,0.0514707229333054,NA,NA,0.0514707229333054,0.0370067476585196,0,29156.3705847786,0.000345298505632967,65481090.2533626,1e-04,"1_26_6",1,26,6,181,1,70459.0180047038,83870.280180232,32927.1735984911,1.38309229123372,1.38309229123372,0.72301755012169,0.72301755012169,1,FALSE,1.38794198300393,0.00751761230041303,1.28084038813334,1.49448856579468,0.737629098226072
"33","print_S",278279.686798446,5609976.91457216,0.0193164579185204,35732.3370354915,0.0107137240425951,146028.511681694,0.0109997515864917,24338.0852802824,0.0109997515864917,TRUE,0.0461843016499303,0.0568475009733232,3643.75230007077,572069.111111111,NA,NA,0.176340896338281,0.145060581458551,1,0.947753274205921,NA,NA,0.0514707229333054,NA,NA,0.0514707229333054,0.0370067476585196,0,29156.3705847786,0.000345298505632967,65481090.2533626,1e-04,"1_26_6",1,26,6,181,1,35732.3370354915,4101.22158003446,457.469279963691,9.80646709569073,9.80646709569073,0.101973523210967,0.101973523210967,1,FALSE,9.71581836801973,0.0162556996807877,9.48547173765404,9.94745361097033,0.196082775582485
"34","facebook_I",23072.5372837657,537812.132961572,0.00185181251057148,3425.55498701638,0.0010270934920147,9403.5694270689,0.000708333780389081,1567.26157117815,0.000708333780389081,TRUE,0.0260427598136316,0.0365694558599733,2054.66711806942,322582.737536898,7909564.88522703,4164895.27055339,0.0169052876744822,0.00934123913999641,1,0.947753274205921,NA,NA,0.0514707229333054,NA,NA,0.0514707229333054,0.0370067476585196,0,29156.3705847786,0.000345298505632967,65481090.2533626,1e-04,"1_26_6",1,26,6,181,1,3425.55498701638,2108.60954364481,53.9424255753923,1.66720679807008,1.66720679807008,0.599805615690614,0.599805615690614,1,FALSE,2.18398211270647,0.107670826012198,0.649984976134883,3.70995599426433,0.00411752761466445
"35","search_clicks_P",46874.0938805914,1067587.50002302,0.00367595256318551,6799.92038231224,0.00203883866916821,140443.183157687,0.0105790308273365,23407.1971929479,0.0105790308273365,TRUE,0.0699699137170785,0.432491219741173,5520.33970276008,866693.333333333,15675.1735811117,33906.5607543834,0.0335579521164504,0.139512274528631,1,0.947753274205921,NA,NA,0.0514707229333054,NA,NA,0.0514707229333054,0.0370067476585196,0,29156.3705847786,0.000345298505632967,65481090.2533626,1e-04,"1_26_6",1,26,6,181,1,6799.92038231224,7436.55163993333,1916.21193717324,1.2317938294472,1.2317938294472,0.811824167400465,0.811824167400465,1,FALSE,1.30091572940777,0.0653749852193927,0.368793845882904,2.22673036862603,0.0354346058112397
"36","newsletter",243397.110165022,9073132.07013747,0.0312409082052977,57790.6501282642,0.017327528202295,682564.401769801,0.0514148831264935,113760.7336283,0.0514148831264935,TRUE,NA,NA,NA,NA,21476.3206761391,45435.608974359,NA,NA,1,0.947753274205921,NA,NA,0.0514707229333054,NA,NA,0.0514707229333054,0.0370067476585196,0,29156.3705847786,0.000345298505632967,65481090.2533626,1e-04,"1_26_6",1,26,6,181,1,57790.6501282642,35224.3900046752,13748.069328536,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,0.390808510830134
"37","(Intercept)",44917.3302325455,7052020.84650964,0.0242817512436271,44917.3302325455,0.0135378861463246,269503.981395273,0.0203172211993336,44917.3302325455,0.0203172211993336,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.947082265454857,NA,NA,0.0518001897093882,NA,NA,0.0518001897093882,0.0260569455870465,0,37189.8810634316,0.000467995209046994,65481090.2533626,1e-04,"1_30_3",1,30,3,206,1,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"38","trend",0.280914902656294,78665582.5142052,0.270863933561734,501054.665695575,0.151015676625334,2972965.8006565,0.224124346799172,495494.300109416,0.224124346799172,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.947082265454857,NA,NA,0.0518001897093882,NA,NA,0.0518001897093882,0.0260569455870465,0,37189.8810634316,0.000467995209046994,65481090.2533626,1e-04,"1_30_3",1,30,3,206,1,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"39","season",0.321852995236405,15559.9742954422,5.35766177415883e-05,99.1081165314789,2.98707512408579e-05,635451.762247298,0.0479050956807539,105908.627041216,0.0479050956807539,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.947082265454857,NA,NA,0.0518001897093882,NA,NA,0.0518001897093882,0.0260569455870465,0,37189.8810634316,0.000467995209046994,65481090.2533626,1e-04,"1_30_3",1,30,3,206,1,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"40","holiday",0.986462321400961,6865334.10961359,0.0236389453012655,274613.364384543,0.082767262480872,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.947082265454857,NA,NA,0.0518001897093882,NA,NA,0.0518001897093882,0.0260569455870465,0,37189.8810634316,0.000467995209046994,65481090.2533626,1e-04,"1_30_3",1,30,3,206,1,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"41","competitor_sales_B",0.176443883242143,154644048.261524,0.53247549786418,984993.937971492,0.296872848810059,7627686.54050229,0.575031930438422,1271281.09008372,0.575031930438422,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.947082265454857,NA,NA,0.0518001897093882,NA,NA,0.0518001897093882,0.0260569455870465,0,37189.8810634316,0.000467995209046994,65481090.2533626,1e-04,"1_30_3",1,30,3,206,1,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"42","events",0.978233816189315,1245104.85023172,0.00428718617026268,1245104.85023172,0.375269135886003,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.947082265454857,NA,NA,0.0518001897093882,NA,NA,0.0518001897093882,0.0260569455870465,0,37189.8810634316,0.000467995209046994,65481090.2533626,1e-04,"1_30_3",1,30,3,206,1,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"43","tv_S",684258.131686904,13644298.1134825,0.0469804981999524,86906.3574107166,0.0261931946072254,536220.142019811,0.0404242756658052,89370.0236699684,0.0404242756658052,TRUE,0.212102766514212,0.317523800746157,16734.0398301486,2627244.25333333,NA,NA,0.419614816846826,0.513772561764004,1,0.947082265454857,NA,NA,0.0518001897093882,NA,NA,0.0518001897093882,0.0260569455870465,0,37189.8810634316,0.000467995209046994,65481090.2533626,1e-04,"1_30_3",1,30,3,206,1,86906.3574107166,25002.6076822708,8268.56785212215,5.19338774694101,5.19338774694101,0.192552539638315,0.192552539638315,1,FALSE,5.16667613474726,0.0096073644509978,5.03026090099756,5.30329917765507,0.417445079987543
"44","ooh_S",205565.704683876,11247311.6306482,0.0387271151233374,71638.9275837467,0.0215916582809467,175800.553261784,0.0132531575566829,29300.0922102973,0.0132531575566829,TRUE,0.645700258305148,0.156568022679373,50943.106581741,7998067.73333333,NA,NA,0.345898233141803,0.168441081434608,1,0.947082265454857,NA,NA,0.0518001897093882,NA,NA,0.0518001897093882,0.0260569455870465,0,37189.8810634316,0.000467995209046994,65481090.2533626,1e-04,"1_30_3",1,30,3,206,1,71638.9275837467,83592.2598780568,32649.1532963158,1.40625361095319,1.40625361095319,0.711109285132555,0.711109285132555,1,FALSE,1.38794198300393,0.00751761230041303,1.28084038813334,1.49448856579468,0.735055601944104
"45","print_S",276646.059089611,5574289.60603227,0.0191935781983124,35505.0293377852,0.0107010599763692,145257.236826647,0.0109505744446963,24209.5394711079,0.0109505744446963,TRUE,0.0461843016499303,0.0568475009733232,3643.75230007077,572069.111111111,NA,NA,0.1714309151436,0.139176388261129,1,0.947082265454857,NA,NA,0.0518001897093882,NA,NA,0.0518001897093882,0.0260569455870465,0,37189.8810634316,0.000467995209046994,65481090.2533626,1e-04,"1_30_3",1,30,3,206,1,35505.0293377852,4097.3184396341,453.566139563325,9.74408423346877,9.74408423346877,0.102626370630625,0.102626370630625,1,FALSE,9.71581836801973,0.0162556996807877,9.48547173765404,9.94745361097033,0.195151945299214
"46","facebook_I",32839.359071906,772818.393015678,0.00266099383200124,4922.41014659668,0.00148359280894782,13526.1606779344,0.00101970292627425,2254.36011298906,0.00101970292627425,TRUE,0.0260427598136316,0.0365694558599733,2054.66711806942,322582.737536898,7909564.88522703,4164895.27055339,0.0237671476937821,0.0129599201480148,1,0.947082265454857,NA,NA,0.0518001897093882,NA,NA,0.0518001897093882,0.0260569455870465,0,37189.8810634316,0.000467995209046994,65481090.2533626,1e-04,"1_30_3",1,30,3,206,1,4922.41014659668,2130.13206200833,75.4649439389145,2.39572147882613,2.39572147882613,0.417410792046656,0.417410792046656,1,FALSE,2.18398211270647,0.107670826012198,0.649984976134883,3.70995599426433,0.00727988815626229
